"","country","tot","latitude","longitude"
"1","Afghanistan",1,33.93911,67.709953
"2","Argentina",5,-38.416097,-63.616672
"3","Armenia",2,40.069099,45.038189
"4","Australia",32,-25.274398,133.775136
"5","Bahamas",1,25.03428,-77.39628
"6","Belarus",4,53.709807,27.953389
"7","Belgium",2,50.503887,4.469936
"8","Bosnia and Herzegovina",5,43.915886,17.679076
"9","Brazil",296,-14.235004,-51.92528
"10","Cameroon",3,7.369722,12.354722
"11","Canada",56,56.130366,-106.346771
"12","Chile",1,-35.675147,-71.542969
"13","China",9,35.86166,104.195397
"14","Congo [Republic]",3,-0.228021,15.827659
"15","Croatia",1,45.1,15.2
"16","Cuba",7,21.521757,-77.781167
"17","Cyprus",1,35.126413,33.429859
"18","Czech Republic",4,49.817492,15.472962
"19","Denmark",3,56.26392,9.501785
"20","Ecuador",2,-1.831239,-78.183406
"21","Finland",2,61.92411,25.748151
"22","France",10,46.227638,2.213749
"23","Germany",6,51.165691,10.451526
"24","Guam",1,13.444304,144.793731
"25","Haiti",3,18.971187,-72.285215
"26","Iceland",4,64.963051,-19.020835
"27","Iran",9,32.427908,53.688046
"28","Iraq",5,33.223191,43.679291
"29","Ireland",26,53.41291,-8.24389
"30","Israel",3,31.046051,34.851612
"31","Italy",2,41.87194,12.56738
"32","Jamaica",18,18.109581,-77.297508
"33","Japan",28,36.204824,138.252924
"35","Kyrgyzstan",3,41.20438,74.766098
"36","Latvia",3,56.879635,24.603189
"37","Mexico",34,23.634501,-102.552784
"38","Moldova",2,47.411631,28.369885
"39","Netherlands",15,52.132633,5.291266
"40","New Zealand",13,-40.900557,174.885971
"41","Nigeria",4,9.081999,8.675277
"42","Norway",1,60.472024,8.468946
"43","Peru",2,-9.189967,-75.015152
"44","Philippines",4,12.879721,121.774017
"45","Poland",29,51.919438,19.145136
"46","Russia",39,61.52401,105.318756
"47","Serbia",2,44.016521,21.005859
"48","South Africa",2,-30.559482,22.937506
"49","South Korea",11,35.907757,127.766922
"50","Sweden",21,60.128161,18.643501
"51","Switzerland",1,46.818188,8.227512
"52","Syria",1,34.802075,38.996815
"53","Turkey",1,38.963745,35.243322
"54","Ukraine",6,48.379433,31.16558
"55","United Kingdom",58,55.378051,-3.435973
"56","United States",768,37.09024,-95.712891
"57","Venezuela",3,6.42375,-66.58973
