"","winby","Date","n","proportion"
"1","DRAW","2014",2,0.00956937799043062
"2","DRAW","2015",1,0.00277008310249307
"3","DRAW","2016",7,0.0165876777251185
"4","DRAW","2017",2,0.015748031496063
"5","DEC","2014",87,0.416267942583732
"6","DEC","2015",171,0.473684210526316
"7","DEC","2016",211,0.5
"8","DEC","2017",61,0.480314960629921
"9","KO/TKO","2014",69,0.330143540669856
"10","KO/TKO","2015",123,0.340720221606648
"11","KO/TKO","2016",130,0.308056872037915
"12","KO/TKO","2017",38,0.299212598425197
"13","SUB","2014",51,0.244019138755981
"14","SUB","2015",66,0.182825484764543
"15","SUB","2016",74,0.175355450236967
"16","SUB","2017",26,0.204724409448819
